Generation,evals,avg,std,min,max,best_one,fitness_best_one
76,682,[   8.         1524.20094971],[0.         0.39521152],[   8.         1522.52018586],[   8.         1524.52840654],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1522.5201858648024)"
77,654,[   8.         1523.85688771],[0.         0.35545247],[   8.         1522.50018991],[   8.         1524.50841059],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1522.5001899129643)"
78,702,[   8.        1523.7060121],[0.         0.45128984],[   8.         1522.46139239],[   8.         1523.92307589],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 21, 20, 22, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1522.4613923900322)"
79,654,[   8.         1523.45393819],[0.         0.57499129],[   8.         1522.46139239],[   8.         1523.92307589],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 21, 20, 22, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1522.4613923900322)"
80,700,[   8.         1523.01154017],[0.         0.52036241],[   8.        1521.3983004],[   8.         1523.92307589],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
81,674,[   8.         1522.51986838],[0.         0.08981624],[   8.        1521.3983004],[   8.         1523.40652107],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
82,680,[   8.         1522.50592548],[0.         0.11183228],[   8.        1521.3983004],[   8.         1522.52018586],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
83,688,[   8.         1522.48305398],[0.         0.18300328],[   8.        1521.3983004],[   8.         1522.52018586],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
84,696,[   8.         1522.44431977],[0.         0.25604604],[   8.        1521.3983004],[   8.         1522.52018586],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
85,680,[   8.         1522.35408198],[0.        0.3658401],[   8.        1521.3983004],[   8.         1522.52018586],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
86,686,[   8.         1522.17350207],[0.         0.48519244],[   8.        1521.3983004],[   8.         1522.50018991],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
87,656,[   8.         1521.80613697],[0.         0.51682373],[   8.        1521.3983004],[   8.         1522.46139239],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.3983003973813)"
88,678,[   8.        1521.3982754],[0.         0.00070652],[   8.         1521.37830445],[   8.        1521.3983004],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.378304445543)"
89,662,[   8.         1521.39822541],[0.        0.0012222],[   8.         1521.37830445],[   8.        1521.3983004],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.378304445543)"
90,678,[   8.         1521.39810044],[0.         0.00198957],[   8.         1521.37830445],[   8.        1521.3983004],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.378304445543)"
91,692,[   8.         1521.39787548],[0.         0.00288375],[   8.         1521.37830445],[   8.        1521.3983004],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.378304445543)"
92,682,[   8.         1521.39725061],[0.         0.00445976],[   8.         1521.37830445],[   8.        1521.3983004],"[23, 25, 14, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 13, 15, 16]","(8.0, 1521.378304445543)"
